,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
11,China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,63.0/77.7,132,133,2118981,1588696,530285,330602,0.5,55.6,3.0,1.6,17.7/16.2,978.0/0.1,301.7,11.6,5.5,1.5,-99,104.3/104.0,95.6/93.2,47.3/39.9,23.7,93.2,50.3,1080,22.0,10291.9/7.5,101394,87,97.5/93.0,86.6/63.7,0.00,-99,90.95,67.84,66.10,62.25,44.76,23.29,43.87,88.96,38.70,2.23,2.74,44.83,36.49,189.71,0.53,44.76,18.67,32.26,47.74,29.68,67.84,100.0,5480.724340937801,39.4359455718714,23323.6147,551234509.0,211364158904.64,468540008742.41205,119.088051569694,1.58497312329912,5.151193216443059,19.6922781375567,45.1323883645045,654187610235.0,0.6729999999999999,17.9401372992739,1.59313725490194,78.828,74.315,76.47,1.8965104068693999,674707818.0,711687182.0,9.419318202271429,19.1020651229559,57.96
12,Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,58.0/79.8,114,115,31045,44831,-13786,-18922,1.0,76.4,1.7,1.9,23.5/11.6,133.1/0.3,7127.0,17.9,7.2,...,4.5,111.6/115.4,101.5/94.8,59.9/51.5,18.7,115.7,55.9,835,52.8,84.1/1.8,5380,31,96.8/73.8,85.2/67.9,0.47,-99,115.38,37.63,48.31,65.79,34.45,19.43,43.77,63.90,81.34,4.25,4.30,23.52,23.28,283.62,0.35,34.45,10.69,23.06,28.76,24.97,37.63,98.5,5988.75423502148,46.5330306568285,1273.5686380000002,32504898.0,8305703414.6355095,12298296661.9256,131.87726913518,-3.2835570523265805,7.22628086805344,15.1452897484005,16.6070413951119,694848478.0,0.593,20.1376251940583,4.3121410323772995,79.694,74.124,76.925,3.1862726276321296,24915291.0,23985775.0,14.658915578840402,23.3441910275351,80.446
13,Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64.0,11.7,46.3/58.4,91,91,13648,21830,-8182,2492,-0.4,59.0,0.1,1.5,14.7/26.8,576.9/13.6,15.5,3.9,7.8,3.1,4.6,98.1/97.8,100.6/95.9,79.8/58.8,19.9,103.8,69.8,176,34.3,16.8/4.0,182,79,99.6/99.7,97.8/95.8,...,-99,170.63,60.71,72.20,65.49,48.00,10.91,28.45,33.34,82.02,3.31,3.69,30.24,27.07,89.21,1.12,48.00,10.09,29.83,39.91,37.53,60.71,100.0,13047.4642755732,52.579572358686,0.58275,2057804.0,14773948041.0347,4624578000.31845,107.363994273443,3.80106777376375,6.78913369774818,50.0289280782477,22.389513844541604,923411397.0,0.723,49.409157647110206,1.12937210282344,80.9,74.9,77.8268292682927,1.42558734937722,2139934.0,1984597.0,21.5627731110784,7.2834216667925595,56.667
14,Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8/70.4,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,16.8/18.5,196.2/16.8,16.2,4.2,7.4,2.5,6.1,99.3/99.3,99.4/100.1,69.4/51.1,17.9,95.4,71.7,72,18.7,6.1/5.2,5,72,100.0/100.0,100.0/100.0,-99,-99,166.64,95.92,67.54,54.23,54.07,5.21,20.32,54.77,71.01,4.90,5.14,20.42,19.45,39.85,2.51,54.07,12.28,34.04,44.06,58.05,95.92,100.0,26093.20402367,43.37320111861529,0.34031950189000004,711554.0,13326017977.192,7831409650.46734,100.807886777964,-5.00386384410902,6.68456926941872,73.0152992340802,19.5436497639485,57707767.0,0.7509999999999999,73.3895414381535,0.5317664961745,82.794,78.547,80.672,1.62751716003059,589132.0,590548.0,24.1665342627952,23.348511602519,66.836
15,Czechia,EasternEurope,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37.0,60.5,3.9,51.3/67.8,102,102,161248,140316,20932,1683,0.1,73.0,0.3,1.5,15.4/25.6,405.1/3.8,6.0,2.5,7.4,3.7,4.1,99.9/99.6,106.1/105.1,76.3/54.2,20.0,129.2,81.3,53,34.5,96.5/9.2,1221,164,100.0/100.0,99.1/99.2,-99,-99,165.41,76.22,69.82,74.09,41.22,10.70,31.98,41.04,65.32,4.17,4.61,24.01,21.71,65.37,1.53,41.22,14.83,28.57,35.84,27.99,76.22,100.0,16801.7164687198,52.397390622639996,27.81465,5450671.0,27307594297.3567,21801376859.9076,110.86722809532301,1.45799390726686,7.2313390672206905,79.72607749897121,33.3962320598455,29543508515.0,0.782,72.202798068737,2.45053398460138,82.0,76.1,78.9780487804878,0.969085790261929,5385332.0,5209106.0,14.8773583802878,15.2005276465305,73.675
16,Denmark,NorthernEurope,42921,5734,135.1,99.0,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,58.1/66.0,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99,184.92,98.76,78.87,75.45,83.02,8.20,28.42,25.97,64.24,4.71,4.82,21.21,20.76,52.39,1.91,83.02,35.02,60.01,63.84,101.01,98.76,100.0,53704.9593894897,56.6199956477692,,,69657202239.7128,62995124117.5794,108.633157753772,7.79658986323749,10.108279436826699,55.1388663944531,28.8453392474058,8937322533.0,0.774,48.1422353799985,1.1471321695760601,83.1,79.2,81.10243902439029,1.1460161693832198,2897965.0,2867015.0,33.6709598218165,45.2183251328341,87.757
17,Egypt,NorthernAfrica,1002000,97553,98.0,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,23.1/76.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,33.5/7.9,491.6/0.5,256.5,18.9,5.6,0.8,...,103.8/104.1,85.9/86.3,35.6/36.9,14.9,111.0,35.9,156,0.1,201.9/2.2,3509,36,100.0/99.0,96.8/93.1,0.78,-99,91.81,29.39,47.14,43.73,22.36,10.66,48.84,88.88,75.59,7.18,7.74,13.93,12.93,138.09,0.72,22.36,5.03,14.05,19.01,18.56,29.39,100.0,2524.4759906719896,63.8363130332394,403.82873900000004,11748510.0,18612600000.0,16081600000.0,231.094115427901,-3.37329709394813,5.28763681650162,15.818443804034601,1.78386167146974,73845751.0,0.486,29.308357348703197,29.506608394003898,73.967,69.453,71.656,1.42260927104117,47706816.0,48735777.0,,,42.705
18,Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112.0,3.4,27.4,69.2,3.8,29.0,67.3,7.2,55.4/69.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99,171.09,68.48,77.00,71.30,49.50,10.54,26.71,17.71,44.56,4.11,3.95,24.33,25.30,68.75,1.45,49.50,13.98,32.47,36.74,46.76,68.48,100.0,16294.785167381202,55.1231614681643,,13103.0,6839243919.352321,4752130176.94124,115.455324823776,2.69313927893907,6.42935782670975,76.1376865328606,29.835523430561,1844023020.0,0.747,71.8574286059871,3.4172354948805697,82.6,73.8,78.0926829268293,2.02836226346766,698154.0,619230.0,20.9927107384988,19.876438451702896,68.717
19,Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22.0,73.8,8.9,54.5/61.7,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3.0,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42.0,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99,182.93,114.97,75.37,74.85,73.06,7.60,34.92,13.38,35.83,3.74,4.60,26.72,21.76,44.51,2.25,73.06,26.95,50.96,61.47,76.43,114.97,100.0,39458.5092005397,60.0766175741488,852.0126300000001,12209646.0,29913728719.0783,31453244990.2233,110.000779878603,-0.6849719681636821,9.20693874359131,37.675589434718496,23.9580540209884,4405114576.0,0.8140000000000001,37.5609043825519,0.754015047084413,84.5,78.9,81.63170731707321,1.36568934476396,2794857.0,2713357.0,20.7765920181751,15.958140251490299,85.325
20,France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2.0,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99,160.25,87.29,56.34,78.62,74.89,11.58,35.81,40.15,73.91,3.00,3.67,33.29,27.22,73.86,1.35,74.89,24.83,50.90,69.54,72.89,87.29,100.0,36547.8795790623,60.716987819599105,4260.597,68316473.0,271067199595.21,249030090796.29398,106.864453008147,-0.6346628787315111,11.312892287969598,30.9486331871,22.3716090860258,109359053829.0,0.765,32.0132141063066,1.03228275064674,85.7,79.6,82.57560975609759,2.34967851446849,34480922.0,32383457.0,23.619888544611303,25.666199432290696,80.18
21,Germany,WesternEurope,357376,82114,235.6,97.0,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5.0,104.7/105.2,99.6/105.6,66.8/69.7,37.0,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99,189.74,124.88,67.97,76.74,65.50,7.46,30.55,27.05,57.97,3.75,4.09,26.68,24.47,45.91,2.18,65.50,25.35,46.26,50.09,62.62,124.88,100.0,40038.3451814871,53.426417753932895,7901.65234423,114160685.0,315403008911.47,345731488765.965,109.35246347718001,7.83505437684049,11.246834695339198,47.3974341985646,27.8485912129159,195752362801.0,0.795,40.29596393209221,1.50949655801608,83.4,78.7,80.9926829268293,1.2341411022353501,41919970.0,40737032.0,11.4719613927932,17.7355216696669,77.26100000000001
22,Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,44.1/60.1,86,87,27811,47595,-19784,218,-0.4,78.0,0.5,1.3,14.2/26.5,1242.5/11.3,94.7,3.3,8.1,6.3,...,97.1/98.1,103.4/109.5,113.7/114.0,18.3,114.0,66.8,374,31.2,67.3/6.1,368,89,100.0/100.0,99.2/98.1,-99,-99,148.32,58.24,59.68,53.92,55.87,8.33,31.60,52.05,87.25,4.14,4.20,24.15,23.80,62.48,1.60,55.87,10.20,33.98,44.95,54.62,58.24,100.0,19581.010806431,55.289531570416095,23.525,13852857.0,38237102482.622,17510745541.4493,101.05987334585501,-1.7712180122928998,8.04139003157616,32.9903963772026,11.4897638856844,1384000150.0,0.6809999999999999,34.0101586285405,1.1212354772078998,83.9,78.8,81.2878048780488,2.51912140468631,5475485.0,5279194.0,25.9719369265181,18.761723822807898,78.72399999999999
