Name,Code
Knapsack,"def function(values, weights, capacity):
    n = len(values)
    memo = [[-1 for _ in range(capacity + 1)] for _ in range(n + 1)]
    def knapSackMemo(n, capacity):
        if n == 0 or capacity == 0:
            return 0
        if memo[n][capacity] != -1:
            return memo[n][capacity]
        if weights[n - 1] > capacity:
            memo[n][capacity] = knapSackMemo(n - 1, capacity)
            return memo[n][capacity]
        else:
            memo[n][capacity] = max(
                values[n - 1] + knapSackMemo(n - 1, capacity - weights[n - 1]),
                knapSackMemo(n - 1, capacity)
            )
            return memo[n][capacity]
    return knapSackMemo(n, capacity)"
Knapsack,"def function(values, weights, capacity):
    items = list(zip(values, weights))
    items.sort(key=lambda x: x[0] / x[1], reverse=True)
    total_value = 0
    for value, weight in items:
        if capacity >= weight:
            total_value += value
            capacity -= weight
        else:
            fraction = capacity / weight
            total_value += value * fraction
            break
    return total_value"
Binary Search,"def function(arr, low, high, target):
    if high >= low:
        mid = (high + low) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] > target:
            return function(arr, low, mid - 1, target)
        else:
            return function(arr, mid + 1, high, target)
    else:
        return -1"
Binary Search,"def function(arr, target):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (high + low) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            low = mid + 1
        else:
            high = mid - 1
    return -1"
Binary Search,"def function(arr, target):
    import bisect
    index = bisect.bisect_left(arr, target)
    if index != len(arr) and arr[index] == target:
        return index
    return -1"
Binary Search,"def function(arr, target, comparator):
    low, high = 0, len(arr) - 1
    while low <= high:
        mid = (high + low) // 2
        comparison = comparator(arr[mid], target)
        if comparison == 0:
            return mid
        elif comparison < 0:
            low = mid + 1
        else:
            high = mid - 1
    return -1"
Quick Sort,"def function(arr):
    if len(arr) <= 1:
        return arr
    pivot = arr[len(arr) // 2]
    left = [x for x in arr if x < pivot]
    middle = [x for x in arr if x == pivot]
    right = [x for x in arr if x > pivot]
    return function(left) + middle + function(right)"
Quick Sort,"def function(arr, low, high):
    if low < high:
        pi = partition(arr, low, high)
        function(arr, low, pi - 1)
        function(arr, pi + 1, high)
def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i + 1], arr[high] = arr[high], arr[i + 1]
    return i + 1"
Quick Sort,"def function(arr, low, high):
    while low < high:
        if high - low < 10:
            insertion_sort(arr, low, high)
            break
        else:
            pi = partition(arr, low, high)
            if pi - low < high - pi:
                function(arr, low, pi - 1)
                low = pi + 1
            else:
                function(arr, pi + 1, high)
                high = pi - 1
def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i + 1], arr[high] = arr[high], arr[i + 1]
    return i + 1
def insertion_sort(arr, low, high):
    for i in range(low + 1, high + 1):
        key = arr[i]
        j = i - 1
        while j >= low and arr[j] > key:
            arr[j + 1] = arr[j]
            j -= 1
        arr[j + 1] = key"
Quick Sort,"def function(arr, low, high):
    if low < high:
        pi = random_partition(arr, low, high)
        function(arr, low, pi - 1)
        function(arr, pi + 1, high)
def random_partition(arr, low, high):
    import random
    pivot_index = random.randint(low, high)
    arr[pivot_index], arr[high] = arr[high], arr[pivot_index]
    return partition(arr, low, high)
def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i + 1], arr[high] = arr[high], arr[i + 1]
    return i + 1"
BFS,"from collections import deque
def function(graph, start):
    visited = set()
    queue = deque([start])
    visited.add(start)
    while queue:
        vertex = queue.popleft()
        print(vertex, end=' ')
        for neighbor in graph[vertex]:
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
BFS,"from collections import deque
def function(graph, start):
    visited = {start: [start]}
    queue = deque([start])
    while queue:
        vertex = queue.popleft()
        print(f'Path to {vertex}: {visited[vertex]}')
        for neighbor in graph[vertex]:
            if neighbor not in visited:
                visited[neighbor] = visited[vertex] + [neighbor]
                queue.append(neighbor)"
BFS,"from collections import deque
def function(graph, start):
    visited = {start: 0}
    queue = deque([start])
    while queue:
        vertex = queue.popleft()
        print(f'Vertex {vertex} is at distance {visited[vertex]}')
        for neighbor in graph[vertex]:
            if neighbor not in visited:
                visited[neighbor] = visited[vertex] + 1
                queue.append(neighbor)"
BFS,"from collections import deque
def function(graph, start):
    visited = set()
    queue = deque([start])
    visited.add(start)
    while queue:
        vertex = queue.popleft()
        print(vertex, end=' ')
        for neighbor in range(len(graph)):
            if graph[vertex][neighbor] == 1 and neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)"
DFS,"def function(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    print(start, end=' ')
    for neighbor in graph[start]:
        if neighbor not in visited:
            function(graph, neighbor, visited)"
DFS,"def function(graph, start):
    visited = set()
    stack = [start]
    while stack:
        vertex = stack.pop()
        if vertex not in visited:
            print(vertex, end=' ')
            visited.add(vertex)
            stack.extend(reversed(graph[vertex]))"
DFS,"def function(graph, start):
    visited = {}
    stack = [(start, [start])]
    while stack:
        vertex, path = stack.pop()
        if vertex not in visited:
            visited[vertex] = path
            print(f'Path to {vertex}: {path}')
            for neighbor in reversed(graph[vertex]):
                if neighbor not in visited:
                    stack.append((neighbor, path + [neighbor]))"
DFS,"def function(graph, start, visited=None):
    if visited is None:
        visited = set()
    visited.add(start)
    print(start, end=' ')
    for neighbor in range(len(graph)):
        if graph[start][neighbor] == 1 and neighbor not in visited:
            function(graph, neighbor, visited)"
